seller_id,seller_name,seller_country,seller_city,main_top_category,plan_code,is_active,onboarded_at,updated_at
S0070,Ursa Market,BE,Liège,FASH,PLUS,true,2023-03-16,2026-06-05 08:15:00
S0071,Windrow Distribution,BE,Bruxelles,TECH,BASIC,true,2024-02-11,2024-02-11 09:00:00
S0072,Pallas Shop,NL,Amsterdam,AUTO,PLUS,true,2025-03-27,2025-03-27 09:00:00
S0073,Granit Group,FR,Strasbourg,BOOK,BASIC,true,2024-12-10,2024-12-10 09:00:00
S0074,Zephyr Shop,BE,Bruxelles,FASH,PLUS,true,2023-04-05,2023-04-05 09:00:00
S0075,Quartz Market,BE,Bruxelles,KIDS,BASIC,true,2023-08-20,2023-08-20 09:00:00
S0076,Ursa Distribution,DE,Berlin,BEAU,PREMIUM,true,2023-03-14,2023-03-14 09:00:00
S0077,Meridian Market,ES,Valence,BEAU,BASIC,true,2021-10-20,2021-10-20 09:00:00
S0078,Meridian Shop,ES,Madrid,KIDS,BASIC,true,2023-09-29,2023-09-29 09:00:00
S0079,Terra Group,FR,Lyon,SPORT,PLUS,true,2025-02-09,2026-06-05 08:15:00
S0080,Alvora Distribution,IT,Rome,FASH,PREMIUM,true,2022-06-07,2026-06-05 08:15:00
S0081,Meridian Store,FR,Rennes,SPORT,BASIC,true,2022-11-21,2022-11-21 09:00:00
S0082,Meridian Group,IT,Milan,KIDS,BASIC,true,2022-04-11,2022-04-11 09:00:00
S0083,Kestrel Market,FR,Lyon,HOME,BASIC,true,2021-10-14,2021-10-14 09:00:00
S0084,Cirrus Group,BE,Liège,KIDS,BASIC,false,2024-12-29,2026-06-05 08:15:00
S0085,Terra Market,ES,Valence,AUTO,PLUS,true,2024-06-19,2026-06-05 08:15:00
S0086,Ursa Store,DE,Hambourg,SPORT,BASIC,true,2021-05-07,2021-05-07 09:00:00
S0087,Lumen Market,IT,Milan,BOOK,PLUS,false,2021-01-22,2021-01-22 09:00:00
S0088,Cirrus Market,IT,Rome,SPORT,BASIC,true,2025-10-03,2025-10-03 09:00:00
S0089,Lumen Store,ES,Barcelone,HOME,BASIC,true,2025-10-03,2025-10-03 09:00:00
S0090,Bexon Shop,NL,Amsterdam,AUTO,PLUS,true,2023-12-12,2023-12-12 09:00:00
S0091,Ember Shop,BE,Bruxelles,TECH,PREMIUM,true,2022-04-04,2022-04-04 09:00:00
S0092,Halcyon Shop,ES,Valence,HOME,PREMIUM,true,2025-10-10,2025-10-10 09:00:00
S0093,Pallas Market,BE,Anvers,HOME,BASIC,true,2022-05-02,2022-05-02 09:00:00
S0094,Delvia Store,BE,Bruxelles,BEAU,BASIC,true,2024-04-12,2024-04-12 09:00:00
S0095,Ember Distribution,FR,Lille,SPORT,BASIC,true,2024-08-15,2024-08-15 09:00:00
S0096,Nordis Store,FR,Rennes,BOOK,PLUS,true,2024-01-13,2024-01-13 09:00:00
S0097,Halcyon Distribution,FR,Bordeaux,SPORT,BASIC,true,2022-01-28,2022-01-28 09:00:00
S0098,Juniper Shop,NL,Amsterdam,BOOK,PLUS,true,2023-01-04,2023-01-04 09:00:00
S0099,Alvora Market,ES,Madrid,AUTO,PLUS,true,2025-07-05,2025-07-05 09:00:00
S0100,Orbit Shop,FR,Toulouse,BEAU,PLUS,true,2023-05-23,2023-05-23 09:00:00
S0101,Ursa Shop,BE,Anvers,BEAU,PREMIUM,true,2023-02-22,2026-06-05 08:15:00
S0102,Zephyr Market,FR,Paris,AUTO,BASIC,true,2021-09-06,2021-09-06 09:00:00
S0103,Ursa Group,FR,Lille,BEAU,BASIC,true,2023-10-12,2023-10-12 09:00:00
S0104,Ursa Market,BE,Liège,BOOK,PREMIUM,true,2024-03-23,2024-03-23 09:00:00
S0105,Rivage Store,BE,Bruxelles,BEAU,PLUS,true,2024-09-01,2024-09-01 09:00:00
S0106,Bexon Market,ES,Barcelone,AUTO,PLUS,false,2023-02-14,2023-02-14 09:00:00
S0107,Zephyr Shop,FR,Lyon,FASH,BASIC,true,2023-05-06,2023-05-06 09:00:00
S0108,Ursa Group,NL,Amsterdam,BEAU,BASIC,true,2025-02-16,2025-02-16 09:00:00
S0109,Nordis Group,IT,Rome,SPORT,PLUS,true,2024-06-18,2024-06-18 09:00:00
S0110,Bexon Distribution,IT,Milan,BOOK,BASIC,true,2025-05-08,2025-05-08 09:00:00
S0111,Terra Distribution,IT,Milan,AUTO,BASIC,true,2022-12-23,2022-12-23 09:00:00
S0112,Kestrel Group,BE,Anvers,TECH,BASIC,true,2022-05-06,2022-05-06 09:00:00
S0113,Orbit Distribution,FR,Nantes,BEAU,BASIC,true,2025-05-23,2025-05-23 09:00:00
S0114,Fjord Distribution,FR,Rennes,HOME,BASIC,true,2023-05-19,2023-05-19 09:00:00
S0115,Rivage Market,FR,Lille,HOME,PLUS,true,2022-03-08,2022-03-08 09:00:00
S0116,Halcyon Shop,DE,Berlin,BOOK,PLUS,true,2023-02-06,2026-06-05 08:15:00
S0117,Terra Distribution,NL,Amsterdam,TECH,BASIC,true,2024-06-05,2024-06-05 09:00:00
S0118,Granit Distribution,NL,Amsterdam,HOME,BASIC,true,2023-12-23,2023-12-23 09:00:00
S0119,Meridian Group,FR,Rennes,SPORT,BASIC,true,2023-12-06,2023-12-06 09:00:00
S0120,Pallas Group,ES,Barcelone,SPORT,PREMIUM,false,2024-07-13,2024-07-13 09:00:00
S0121,Rivage Shop,FR,Marseille,TECH,PLUS,true,2024-04-10,2024-04-10 09:00:00
S0122,Fjord Distribution,ES,Barcelone,BEAU,BASIC,true,2022-05-14,2026-06-05 08:15:00
S0123,Fjord Group,DE,Berlin,AUTO,BASIC,true,2021-09-29,2021-09-29 09:00:00
S0124,Fjord Distribution,ES,Valence,FASH,BASIC,true,2023-01-24,2023-01-24 09:00:00
S0125,Bexon Market,IT,Rome,SPORT,BASIC,true,2021-10-10,2021-10-10 09:00:00
S0126,Alvora Shop,NL,Amsterdam,BEAU,BASIC,false,2025-06-18,2025-06-18 09:00:00
S0127,Ursa Shop,ES,Madrid,HOME,BASIC,true,2025-04-11,2025-04-11 09:00:00
S0128,Lumen Store,ES,Madrid,BOOK,BASIC,true,2024-05-27,2024-05-27 09:00:00
S0129,Ursa Shop,FR,Lyon,KIDS,PREMIUM,true,2021-05-16,2021-05-16 09:00:00
S0130,Fjord Market,FR,Rennes,FASH,BASIC,true,2022-07-13,2022-07-13 09:00:00
S0131,Lumen Market,IT,Rome,AUTO,PLUS,true,2021-05-10,2021-05-10 09:00:00
S0132,Zephyr Store,DE,Hambourg,BEAU,PLUS,true,2023-10-16,2026-06-05 08:15:00
S0133,Pallas Market,BE,Bruxelles,AUTO,BASIC,true,2023-06-13,2023-06-13 09:00:00
S0134,Delvia Shop,BE,Bruxelles,KIDS,PLUS,true,2022-01-03,2022-01-03 09:00:00
S0135,Pallas Shop,ES,Barcelone,BEAU,BASIC,true,2022-09-16,2022-09-16 09:00:00
S0136,Ursa Market,BE,Bruxelles,BEAU,BASIC,true,2024-06-14,2024-06-14 09:00:00
S0137,Zephyr Shop,IT,Rome,BOOK,PLUS,true,2022-10-16,2022-10-16 09:00:00
S0138,Bexon Group,BE,Anvers,FASH,BASIC,true,2023-02-13,2023-02-13 09:00:00
S0139,Ember Group,ES,Valence,BOOK,PREMIUM,true,2023-03-05,2026-06-05 08:15:00
S0140,Delvia Market,DE,Hambourg,TECH,BASIC,true,2021-03-08,2021-03-08 09:00:00
S0141,Ivory Group,BE,Liège,BOOK,BASIC,true,2021-12-09,2021-12-09 09:00:00
S0142,Vertex Shop,FR,Nantes,TECH,BASIC,true,2022-12-17,2022-12-17 09:00:00
S0143,Lumen Store,BE,Anvers,TECH,BASIC,true,2025-08-11,2025-08-11 09:00:00
S0144,Ember Shop,FR,Lille,HOME,BASIC,true,2021-04-30,2021-04-30 09:00:00
S0145,Ember Store,DE,Hambourg,BEAU,PLUS,true,2024-05-04,2024-05-04 09:00:00
S0146,Terra Store,ES,Valence,BOOK,PLUS,true,2023-01-22,2023-01-22 09:00:00
S0147,Ivory Group,ES,Valence,TECH,PLUS,true,2024-07-08,2024-07-08 09:00:00
S0148,Ivory Market,FR,Marseille,HOME,BASIC,true,2023-02-12,2023-02-12 09:00:00
S0149,Ursa Store,NL,Amsterdam,KIDS,PLUS,true,2021-01-14,2026-06-05 08:15:00
S0150,Fjord Store,ES,Madrid,TECH,BASIC,false,2021-10-15,2021-10-15 09:00:00
S0151,Quartz Store,DE,Hambourg,KIDS,PLUS,true,2023-06-13,2023-06-13 09:00:00
S0152,Fjord Group,FR,Lille,KIDS,PREMIUM,true,2024-03-19,2026-06-05 08:15:00
S0153,Halcyon Store,DE,Hambourg,FASH,PLUS,true,2023-10-12,2023-10-12 09:00:00
S0154,Cirrus Distribution,BE,Anvers,BOOK,BASIC,true,2023-07-05,2023-07-05 09:00:00
S0155,Orbit Market,DE,Berlin,AUTO,PLUS,true,2024-12-17,2024-12-17 09:00:00
S0156,Ivory Group,FR,Toulouse,SPORT,PREMIUM,true,2021-04-03,2021-04-03 09:00:00
S0157,Lumen Distribution,DE,Hambourg,SPORT,BASIC,true,2023-11-27,2023-11-27 09:00:00
S0158,Pallas Shop,DE,Berlin,HOME,BASIC,true,2022-09-20,2022-09-20 09:00:00
S0159,Lumen Market,FR,Lille,FASH,PLUS,false,2021-01-21,2026-06-05 08:15:00
S0160,Ursa Group,FR,Toulouse,BOOK,BASIC,true,2025-02-27,2025-02-27 09:00:00
S0161,Ember Distribution,DE,Berlin,HOME,PLUS,true,2025-05-23,2025-05-23 09:00:00
S0162,Orbit Shop,IT,Milan,HOME,BASIC,true,2025-08-08,2025-08-08 09:00:00
S0163,Cirrus Shop,FR,Nantes,BEAU,BASIC,true,2021-08-31,2021-08-31 09:00:00
S0164,Meridian Store,FR,Strasbourg,FASH,PLUS,true,2025-08-14,2025-08-14 09:00:00
S0165,Fjord Market,DE,Berlin,BEAU,BASIC,true,2021-08-29,2021-08-29 09:00:00
S0166,Terra Market,FR,Strasbourg,AUTO,BASIC,true,2024-03-14,2024-03-14 09:00:00
S0167,Alvora Market,FR,Nantes,AUTO,PLUS,true,2021-01-07,2021-01-07 09:00:00
S0168,Bexon Store,FR,Paris,HOME,BASIC,true,2025-01-26,2025-01-26 09:00:00
S0169,Alvora Distribution,FR,Lyon,SPORT,BASIC,true,2022-01-26,2022-01-26 09:00:00
S0170,Rivage Market,FR,Strasbourg,FASH,BASIC,true,2022-11-30,2022-11-30 09:00:00
S0171,Solstice Group,ES,Barcelone,TECH,BASIC,true,2025-09-16,2025-09-16 09:00:00
S0172,Orbit Market,FR,Bordeaux,AUTO,BASIC,true,2022-12-20,2022-12-20 09:00:00
S0173,Terra Group,FR,Lille,HOME,BASIC,true,2024-09-07,2024-09-07 09:00:00
S0174,Ivory Shop,FR,Marseille,BOOK,BASIC,true,2022-11-06,2022-11-06 09:00:00
S0175,Delvia Group,FR,Bordeaux,AUTO,BASIC,true,2022-08-19,2022-08-19 09:00:00
S0176,Meridian Shop,FR,Strasbourg,BEAU,PLUS,true,2025-03-03,2025-03-03 09:00:00
S0177,Lumen Distribution,FR,Toulouse,BOOK,PLUS,true,2025-08-22,2025-08-22 09:00:00
S0178,Pallas Shop,FR,Lille,HOME,PREMIUM,true,2024-08-27,2024-08-27 09:00:00
S0179,Fjord Shop,DE,Berlin,FASH,BASIC,true,2024-01-10,2024-01-10 09:00:00
S0180,Solstice Store,BE,Bruxelles,KIDS,BASIC,true,2025-04-25,2025-04-25 09:00:00
S0181,Meridian Shop,FR,Toulouse,AUTO,BASIC,true,2023-09-05,2023-09-05 09:00:00
S0182,Ursa Shop,FR,Marseille,FASH,BASIC,false,2025-04-17,2025-04-17 09:00:00
S0183,Ember Shop,BE,Bruxelles,BOOK,PLUS,true,2021-12-13,2021-12-13 09:00:00
S0184,Zephyr Distribution,DE,Hambourg,SPORT,PREMIUM,true,2025-05-22,2025-05-22 09:00:00
S0185,Pallas Store,FR,Nantes,SPORT,PREMIUM,true,2022-12-25,2022-12-25 09:00:00
S0186,Juniper Store,NL,Amsterdam,SPORT,PLUS,true,2024-08-02,2024-08-02 09:00:00
S0187,Nordis Store,DE,Hambourg,SPORT,BASIC,true,2023-07-05,2023-07-05 09:00:00
S0188,Meridian Store,DE,Munich,TECH,PLUS,true,2023-10-06,2023-10-06 09:00:00
S0189,Halcyon Store,FR,Lyon,HOME,PLUS,true,2024-02-17,2024-02-17 09:00:00
S0190,Solstice Shop,DE,Berlin,HOME,PREMIUM,true,2022-05-24,2022-05-24 09:00:00
S0191,Juniper Market,ES,Madrid,KIDS,PREMIUM,true,2024-03-02,2024-03-02 09:00:00
S0192,Lumen Market,BE,Bruxelles,SPORT,BASIC,false,2025-08-17,2025-08-17 09:00:00
S0193,Halcyon Market,IT,Milan,BEAU,PLUS,true,2024-09-02,2024-09-02 09:00:00
S0194,Pallas Market,DE,Berlin,BEAU,BASIC,true,2022-01-13,2022-01-13 09:00:00
S0195,Meridian Market,ES,Madrid,BEAU,BASIC,true,2025-09-13,2025-09-13 09:00:00
S0196,Pallas Market,FR,Nantes,HOME,PREMIUM,true,2021-04-04,2021-04-04 09:00:00
S0197,Orbit Group,FR,Nantes,FASH,PLUS,true,2025-02-18,2025-02-18 09:00:00
S0198,Terra Store,FR,Toulouse,AUTO,PLUS,true,2021-08-17,2021-08-17 09:00:00
S0199,Terra Distribution,FR,Nantes,HOME,BASIC,true,2023-10-22,2023-10-22 09:00:00
S0200,Vertex Group,DE,Munich,BEAU,BASIC,false,2021-09-04,2021-09-04 09:00:00
S0201,Ivory Store,FR,Rennes,KIDS,PLUS,true,2025-02-21,2026-06-05 08:15:00
S0202,Quartz Group,FR,Toulouse,BEAU,BASIC,true,2024-05-03,2024-05-03 09:00:00
S0203,Ivory Market,FR,Rennes,BOOK,BASIC,true,2024-02-16,2024-02-16 09:00:00
S0204,Vertex Shop,BE,Liège,AUTO,BASIC,true,2024-12-23,2024-12-23 09:00:00
S0205,Vertex Distribution,FR,Rennes,KIDS,PLUS,true,2022-08-26,2022-08-26 09:00:00
S0206,Halcyon Distribution,IT,Milan,KIDS,BASIC,true,2024-05-09,2024-05-09 09:00:00
S0207,Zephyr Shop,ES,Barcelone,BOOK,PREMIUM,true,2024-08-03,2024-08-03 09:00:00
S0208,Fjord Group,IT,Milan,SPORT,PLUS,true,2025-01-03,2025-01-03 09:00:00
S0209,Terra Distribution,FR,Paris,BOOK,BASIC,true,2023-04-11,2026-06-05 08:15:00
S0210,Windrow Market,DE,Hambourg,AUTO,PREMIUM,true,2023-11-24,2023-11-24 09:00:00
S0211,Quartz Market,DE,Hambourg,BOOK,PLUS,false,2022-04-05,2022-04-05 09:00:00
S0212,Meridian Group,ES,Barcelone,FASH,BASIC,true,2025-05-30,2025-05-30 09:00:00
S0213,Rivage Group,FR,Strasbourg,KIDS,PREMIUM,true,2023-09-12,2023-09-12 09:00:00
S0214,Ursa Store,ES,Madrid,BEAU,BASIC,true,2025-03-12,2025-03-12 09:00:00
S0215,Juniper Shop,FR,Paris,KIDS,PLUS,true,2023-09-09,2023-09-09 09:00:00
S0216,Halcyon Group,DE,Berlin,AUTO,PREMIUM,true,2024-04-03,2024-04-03 09:00:00
S0217,Solstice Group,ES,Barcelone,BEAU,PLUS,true,2023-02-12,2023-02-12 09:00:00
S0218,Bexon Group,FR,Rennes,TECH,BASIC,true,2021-04-08,2021-04-08 09:00:00
S0219,Orbit Group,BE,Anvers,BEAU,PLUS,true,2024-08-21,2024-08-21 09:00:00
S0220,Terra Store,BE,Bruxelles,SPORT,BASIC,true,2021-09-24,2021-09-24 09:00:00
S0221,Granit Group,FR,Nantes,HOME,BASIC,true,2025-01-26,2025-01-26 09:00:00
S0222,Ivory Market,FR,Paris,TECH,BASIC,true,2023-11-14,2023-11-14 09:00:00
S0223,Ivory Market,ES,Valence,BOOK,PREMIUM,true,2021-12-04,2021-12-04 09:00:00
S0224,Solstice Store,FR,Lille,AUTO,BASIC,true,2024-04-24,2024-04-24 09:00:00
S0225,Rivage Store,BE,Anvers,BOOK,PREMIUM,true,2022-11-12,2022-11-12 09:00:00
S0226,Nordis Distribution,FR,Toulouse,SPORT,PLUS,true,2022-04-01,2022-04-01 09:00:00
S0227,Zephyr Shop,DE,Berlin,BOOK,BASIC,true,2024-05-13,2024-05-13 09:00:00
S0228,Pallas Shop,IT,Milan,FASH,PLUS,true,2024-12-21,2024-12-21 09:00:00
S0229,Terra Distribution,FR,Bordeaux,AUTO,BASIC,true,2023-09-26,2023-09-26 09:00:00
S0230,Terra Group,FR,Lyon,TECH,BASIC,true,2024-01-26,2024-01-26 09:00:00
S0231,Delvia Group,FR,Bordeaux,TECH,PLUS,true,2021-02-09,2021-02-09 09:00:00
S0232,Meridian Distribution,FR,Paris,TECH,BASIC,true,2023-07-15,2023-07-15 09:00:00
S0233,Bexon Market,FR,Toulouse,SPORT,PREMIUM,true,2025-07-14,2025-07-14 09:00:00
S0234,Lumen Group,ES,Barcelone,FASH,BASIC,true,2023-07-17,2023-07-17 09:00:00
S0235,Bexon Group,BE,Bruxelles,BEAU,BASIC,true,2022-07-12,2022-07-12 09:00:00
S0236,Quartz Group,BE,Anvers,BEAU,PLUS,true,2025-10-06,2025-10-06 09:00:00
S0237,Juniper Market,DE,Hambourg,FASH,BASIC,true,2023-06-02,2023-06-02 09:00:00
S0238,Delvia Group,FR,Marseille,AUTO,BASIC,true,2024-09-09,2024-09-09 09:00:00
S0239,Ursa Group,BE,Bruxelles,HOME,BASIC,true,2023-08-18,2023-08-18 09:00:00
S0240,Rivage Distribution,ES,Valence,AUTO,PREMIUM,true,2024-01-16,2024-01-16 09:00:00
S0241,Quartz Group,FR,Bordeaux,AUTO,BASIC,true,2024-10-30,2024-10-30 09:00:00
S0242,Quartz Group,ES,Barcelone,AUTO,BASIC,true,2022-09-19,2022-09-19 09:00:00
S0243,Rivage Distribution,BE,Bruxelles,FASH,BASIC,true,2024-12-25,2024-12-25 09:00:00
S0244,Quartz Distribution,FR,Nantes,KIDS,BASIC,true,2022-02-20,2022-02-20 09:00:00
S0245,Alvora Market,FR,Paris,HOME,BASIC,true,2021-04-07,2021-04-07 09:00:00
S0246,Ember Distribution,ES,Barcelone,FASH,BASIC,true,2021-01-29,2021-01-29 09:00:00
S0247,Ursa Shop,FR,Paris,HOME,PREMIUM,true,2024-05-30,2024-05-30 09:00:00
S0248,Granit Store,FR,Marseille,TECH,BASIC,true,2022-07-21,2022-07-21 09:00:00
S0249,Vertex Market,DE,Berlin,TECH,PLUS,true,2021-09-23,2021-09-23 09:00:00
S0250,Lumen Group,FR,Marseille,FASH,PREMIUM,false,2024-11-22,2024-11-22 09:00:00
S0251,Quartz Group,IT,Rome,HOME,PLUS,true,2023-08-10,2023-08-10 09:00:00
S0252,Orbit Shop,FR,Nantes,SPORT,PLUS,true,2023-05-16,2023-05-16 09:00:00
S0253,Bexon Distribution,IT,Milan,BEAU,BASIC,true,2022-11-10,2022-11-10 09:00:00
S0254,Cirrus Group,FR,Paris,SPORT,BASIC,true,2021-06-15,2021-06-15 09:00:00
S0255,Quartz Shop,NL,Amsterdam,TECH,BASIC,true,2024-06-10,2024-06-10 09:00:00
S0256,Windrow Store,FR,Strasbourg,SPORT,PLUS,true,2021-12-24,2021-12-24 09:00:00
S0257,Ivory Market,FR,Nantes,KIDS,PLUS,true,2023-07-15,2023-07-15 09:00:00
S0258,Granit Shop,FR,Paris,FASH,PREMIUM,true,2024-02-11,2024-02-11 09:00:00
S0259,Rivage Group,DE,Hambourg,TECH,BASIC,true,2024-11-18,2024-11-18 09:00:00
S0260,Alvora Group,ES,Valence,KIDS,BASIC,true,2023-06-22,2023-06-22 09:00:00
S0261,Kestrel Distribution,DE,Munich,AUTO,PLUS,true,2022-08-15,2022-08-15 09:00:00
S0262,Granit Group,FR,Lyon,BOOK,BASIC,true,2022-04-22,2022-04-22 09:00:00
S0263,Rivage Group,BE,Anvers,SPORT,BASIC,true,2024-01-06,2024-01-06 09:00:00
S0264,Kestrel Distribution,FR,Toulouse,KIDS,PLUS,true,2023-08-24,2023-08-24 09:00:00
S0265,Juniper Group,FR,Nantes,HOME,PLUS,true,2024-07-18,2026-06-05 08:15:00
S0266,Lumen Market,IT,Milan,BEAU,PLUS,true,2022-01-26,2022-01-26 09:00:00
S0267,Windrow Shop,FR,Marseille,BOOK,BASIC,true,2021-06-13,2021-06-13 09:00:00
S0268,Alvora Shop,FR,Marseille,AUTO,PLUS,true,2024-06-30,2026-06-05 08:15:00
