seller_id,seller_name,seller_country,seller_city,main_top_category,plan_code,is_active,onboarded_at
S0174,Ivory Shop,FR,Marseille,BOOK,BASIC,true,2022-11-06
S0175,Delvia Group,FR,Bordeaux,AUTO,BASIC,true,2022-08-19
S0176,Meridian Shop,FR,Strasbourg,BEAU,PLUS,true,2025-03-03
S0177,Lumen Distribution,FR,Toulouse,BOOK,PLUS,true,2025-08-22
S0178,Pallas Shop,FR,Lille,HOME,PREMIUM,true,2024-08-27
S0179,Fjord Shop,DE,Berlin,FASH,BASIC,true,2024-01-10
S0180,Solstice Store,BE,Bruxelles,KIDS,BASIC,true,2025-04-25
S0181,Meridian Shop,FR,Toulouse,AUTO,BASIC,true,2023-09-05
S0182,Ursa Shop,FR,Marseille,FASH,BASIC,false,2025-04-17
S0183,Ember Shop,BE,Bruxelles,BOOK,PLUS,true,2021-12-13
S0184,Zephyr Distribution,DE,Hambourg,SPORT,PREMIUM,true,2025-05-22
S0185,Pallas Store,FR,Nantes,SPORT,PREMIUM,true,2022-12-25
S0186,Juniper Store,NL,Amsterdam,SPORT,PLUS,true,2024-08-02
S0187,Nordis Store,DE,Hambourg,SPORT,BASIC,true,2023-07-05
S0188,Meridian Store,DE,Munich,TECH,PLUS,true,2023-10-06
S0189,Halcyon Store,FR,Lyon,HOME,PLUS,true,2024-02-17
S0190,Solstice Shop,DE,Berlin,HOME,PREMIUM,true,2022-05-24
S0191,Juniper Market,ES,Madrid,KIDS,PREMIUM,true,2024-03-02
S0192,Lumen Market,BE,Bruxelles,SPORT,BASIC,false,2025-08-17
S0193,Halcyon Market,IT,Milan,BEAU,PLUS,true,2024-09-02
S0194,Pallas Market,DE,Berlin,BEAU,BASIC,true,2022-01-13
S0195,Meridian Market,ES,Madrid,BEAU,BASIC,true,2025-09-13
S0196,Pallas Market,FR,Nantes,HOME,PREMIUM,true,2021-04-04
S0197,Orbit Group,FR,Nantes,FASH,PLUS,true,2025-02-18
S0198,Terra Store,FR,Toulouse,AUTO,PLUS,true,2021-08-17
S0199,Terra Distribution,FR,Nantes,HOME,BASIC,true,2023-10-22
S0200,Vertex Group,DE,Munich,BEAU,BASIC,false,2021-09-04
S0201,Ivory Store,FR,Rennes,KIDS,BASIC,true,2025-02-21
S0202,Quartz Group,FR,Toulouse,BEAU,BASIC,true,2024-05-03
S0203,Ivory Market,FR,Rennes,BOOK,BASIC,true,2024-02-16
S0204,Vertex Shop,BE,Liège,AUTO,BASIC,true,2024-12-23
S0205,Vertex Distribution,FR,Rennes,KIDS,PLUS,true,2022-08-26
S0206,Halcyon Distribution,IT,Milan,KIDS,BASIC,true,2024-05-09
S0207,Zephyr Shop,ES,Barcelone,BOOK,PREMIUM,true,2024-08-03
S0208,Fjord Group,IT,Milan,SPORT,PLUS,true,2025-01-03
S0209,Terra Distribution,FR,Paris,BOOK,PLUS,true,2023-04-11
S0210,Windrow Market,DE,Hambourg,AUTO,PREMIUM,true,2023-11-24
S0211,Quartz Market,DE,Hambourg,BOOK,PLUS,false,2022-04-05
S0212,Meridian Group,ES,Barcelone,FASH,BASIC,true,2025-05-30
S0213,Rivage Group,FR,Strasbourg,KIDS,PREMIUM,true,2023-09-12
S0214,Ursa Store,ES,Madrid,BEAU,BASIC,true,2025-03-12
S0215,Juniper Shop,FR,Paris,KIDS,PLUS,true,2023-09-09
S0216,Halcyon Group,DE,Berlin,AUTO,PREMIUM,true,2024-04-03
S0217,Solstice Group,ES,Barcelone,BEAU,PLUS,true,2023-02-12
S0218,Bexon Group,FR,Rennes,TECH,BASIC,true,2021-04-08
S0219,Orbit Group,BE,Anvers,BEAU,PLUS,true,2024-08-21
S0220,Terra Store,BE,Bruxelles,SPORT,BASIC,true,2021-09-24
S0221,Granit Group,FR,Nantes,HOME,BASIC,true,2025-01-26
S0222,Ivory Market,FR,Paris,TECH,BASIC,true,2023-11-14
S0223,Ivory Market,ES,Valence,BOOK,PREMIUM,true,2021-12-04
S0224,Solstice Store,FR,Lille,AUTO,BASIC,true,2024-04-24
S0225,Rivage Store,BE,Anvers,BOOK,PREMIUM,true,2022-11-12
S0226,Nordis Distribution,FR,Toulouse,SPORT,PLUS,true,2022-04-01
S0227,Zephyr Shop,DE,Berlin,BOOK,BASIC,true,2024-05-13
S0228,Pallas Shop,IT,Milan,FASH,PLUS,true,2024-12-21
S0229,Terra Distribution,FR,Bordeaux,AUTO,BASIC,true,2023-09-26
S0230,Terra Group,FR,Lyon,TECH,BASIC,true,2024-01-26
S0231,Delvia Group,FR,Bordeaux,TECH,PLUS,true,2021-02-09
S0232,Meridian Distribution,FR,Paris,TECH,BASIC,true,2023-07-15
S0233,Bexon Market,FR,Toulouse,SPORT,PREMIUM,true,2025-07-14
S0234,Lumen Group,ES,Barcelone,FASH,BASIC,true,2023-07-17
S0235,Bexon Group,BE,Bruxelles,BEAU,BASIC,true,2022-07-12
S0236,Quartz Group,BE,Anvers,BEAU,PLUS,true,2025-10-06
S0237,Juniper Market,DE,Hambourg,FASH,BASIC,true,2023-06-02
S0238,Delvia Group,FR,Marseille,AUTO,BASIC,true,2024-09-09
S0239,Ursa Group,BE,Bruxelles,HOME,BASIC,true,2023-08-18
S0240,Rivage Distribution,ES,Valence,AUTO,PREMIUM,true,2024-01-16
S0241,Quartz Group,FR,Bordeaux,AUTO,BASIC,true,2024-10-30
S0242,Quartz Group,ES,Barcelone,AUTO,BASIC,true,2022-09-19
S0243,Rivage Distribution,BE,Bruxelles,FASH,BASIC,true,2024-12-25
S0244,Quartz Distribution,FR,Nantes,KIDS,BASIC,true,2022-02-20
S0245,Alvora Market,FR,Paris,HOME,BASIC,true,2021-04-07
S0246,Ember Distribution,ES,Barcelone,FASH,BASIC,true,2021-01-29
S0247,Ursa Shop,FR,Paris,HOME,PREMIUM,true,2024-05-30
S0248,Granit Store,FR,Marseille,TECH,BASIC,true,2022-07-21
S0249,Vertex Market,DE,Berlin,TECH,PLUS,true,2021-09-23
S0250,Lumen Group,FR,Marseille,FASH,PREMIUM,false,2024-11-22
S0251,Quartz Group,IT,Rome,HOME,PLUS,true,2023-08-10
S0252,Orbit Shop,FR,Nantes,SPORT,PLUS,true,2023-05-16
S0253,Bexon Distribution,IT,Milan,BEAU,BASIC,true,2022-11-10
S0254,Cirrus Group,FR,Paris,SPORT,BASIC,true,2021-06-15
S0255,Quartz Shop,NL,Amsterdam,TECH,BASIC,true,2024-06-10
S0256,Windrow Store,FR,Strasbourg,SPORT,PLUS,true,2021-12-24
S0257,Ivory Market,FR,Nantes,KIDS,PLUS,true,2023-07-15
S0258,Granit Shop,FR,Paris,FASH,PREMIUM,true,2024-02-11
S0259,Rivage Group,DE,Hambourg,TECH,BASIC,true,2024-11-18
S0260,Alvora Group,ES,Valence,KIDS,BASIC,true,2023-06-22
S0261,Kestrel Distribution,DE,Munich,AUTO,PLUS,true,2022-08-15
S0262,Granit Group,FR,Lyon,BOOK,BASIC,true,2022-04-22
S0263,Rivage Group,BE,Anvers,SPORT,BASIC,true,2024-01-06
S0264,Kestrel Distribution,FR,Toulouse,KIDS,PLUS,true,2023-08-24
S0265,Juniper Group,FR,Nantes,HOME,BASIC,true,2024-07-18
S0266,Lumen Market,IT,Milan,BEAU,PLUS,true,2022-01-26
S0267,Windrow Shop,FR,Marseille,BOOK,BASIC,true,2021-06-13
S0268,Alvora Shop,FR,Marseille,AUTO,BASIC,true,2024-06-30
S0269,Kestrel Shop,DE,Hambourg,KIDS,BASIC,true,2024-03-13
S0270,Bexon Group,FR,Lille,BOOK,PREMIUM,true,2023-12-17
S0271,Bexon Shop,IT,Rome,BEAU,PREMIUM,true,2025-08-08
S0272,Juniper Distribution,IT,Milan,FASH,PLUS,true,2021-09-27
S0273,Terra Shop,DE,Hambourg,BEAU,BASIC,true,2021-10-13
S0274,Kestrel Shop,BE,Liège,KIDS,BASIC,true,2022-01-22
S0275,Delvia Distribution,FR,Lille,AUTO,PREMIUM,true,2023-03-19
S0276,Meridian Market,IT,Rome,TECH,PLUS,true,2025-05-29
S0277,Cirrus Group,FR,Bordeaux,HOME,BASIC,true,2024-07-16
S0278,Meridian Store,FR,Strasbourg,HOME,PREMIUM,true,2023-11-16
S0279,Granit Market,ES,Barcelone,HOME,BASIC,true,2022-11-16
S0280,Windrow Shop,BE,Anvers,KIDS,BASIC,true,2025-03-14
S0281,Terra Store,NL,Amsterdam,HOME,PLUS,true,2024-10-09
S0282,Terra Market,NL,Amsterdam,FASH,BASIC,true,2021-03-09
S0283,Delvia Store,BE,Bruxelles,HOME,BASIC,true,2021-05-09
S0284,Alvora Store,BE,Bruxelles,AUTO,BASIC,true,2022-03-26
S0285,Kestrel Distribution,DE,Berlin,TECH,BASIC,true,2023-10-19
S0286,Ursa Market,DE,Hambourg,AUTO,PREMIUM,true,2022-11-03
S0287,Juniper Store,ES,Valence,SPORT,BASIC,true,2025-07-15
S0288,Quartz Shop,ES,Madrid,KIDS,BASIC,true,2023-07-05
S0289,Zephyr Group,BE,Bruxelles,KIDS,BASIC,true,2022-02-07
S0290,Pallas Store,FR,Marseille,BOOK,BASIC,true,2024-02-01
S0291,Bexon Store,NL,Amsterdam,FASH,BASIC,true,2023-11-06
S0292,Bexon Market,FR,Lille,TECH,BASIC,true,2022-08-14
S0293,Fjord Group,ES,Valence,AUTO,BASIC,true,2024-05-29
S0294,Bexon Store,FR,Bordeaux,BEAU,PLUS,true,2023-06-15
S0295,Solstice Market,DE,Hambourg,SPORT,PLUS,true,2024-06-17
S0296,Orbit Group,BE,Bruxelles,BEAU,PLUS,true,2024-07-06
S0297,Orbit Group,FR,Nantes,SPORT,BASIC,true,2023-06-21
S0298,Vertex Shop,FR,Paris,BOOK,BASIC,true,2023-09-24
S0299,Orbit Group,FR,Marseille,SPORT,BASIC,true,2024-06-13
S0300,Nordis Distribution,FR,Strasbourg,BEAU,PLUS,true,2021-06-23
S0301,Fjord Store,IT,Rome,FASH,BASIC,true,2024-06-07
S0302,Halcyon Market,DE,Munich,HOME,BASIC,true,2022-07-11
S0303,Bexon Group,IT,Milan,KIDS,BASIC,true,2022-02-10
S0304,Juniper Market,DE,Berlin,BOOK,BASIC,true,2021-05-23
S0305,Lumen Store,BE,Anvers,AUTO,PREMIUM,true,2021-06-16
S0306,Alvora Store,FR,Nantes,HOME,PLUS,true,2025-09-07
S0307,Rivage Group,FR,Rennes,BOOK,BASIC,true,2022-11-06
S0308,Granit Shop,BE,Anvers,SPORT,BASIC,true,2022-07-02
S0309,Solstice Market,DE,Munich,BOOK,BASIC,true,2023-04-29
S0310,Bexon Store,IT,Rome,TECH,PLUS,true,2021-11-30
S0311,Halcyon Distribution,NL,Amsterdam,BOOK,PREMIUM,true,2023-12-07
S0312,Lumen Shop,FR,Rennes,TECH,BASIC,false,2021-05-01
S0313,Terra Distribution,IT,Rome,BOOK,BASIC,true,2024-02-25
S0314,Juniper Group,FR,Paris,AUTO,PLUS,true,2023-03-13
S0315,Lumen Market,IT,Milan,FASH,BASIC,true,2021-01-27
S0316,Ivory Market,FR,Marseille,HOME,PLUS,true,2022-10-15
S0317,Terra Distribution,IT,Rome,HOME,BASIC,true,2021-09-06
S0318,Granit Distribution,ES,Madrid,BEAU,PLUS,true,2022-05-17
S0319,Delvia Store,ES,Barcelone,SPORT,PREMIUM,true,2021-05-31
S0320,Terra Distribution,FR,Rennes,BOOK,BASIC,true,2025-01-14
S0321,Fjord Market,IT,Milan,FASH,BASIC,true,2023-10-20
S0322,Orbit Shop,FR,Toulouse,BOOK,PLUS,true,2023-02-12
S0323,Lumen Market,IT,Rome,BEAU,BASIC,true,2023-02-15
S0324,Zephyr Market,ES,Barcelone,BOOK,BASIC,false,2025-03-01
S0325,Juniper Shop,FR,Toulouse,BOOK,BASIC,true,2023-12-19
S0326,Solstice Market,FR,Nantes,BOOK,PLUS,true,2022-11-11
S0327,Alvora Shop,BE,Bruxelles,BEAU,BASIC,true,2023-06-17
S0328,Halcyon Group,FR,Lyon,KIDS,PLUS,true,2023-07-05
S0329,Bexon Distribution,DE,Hambourg,TECH,PLUS,true,2023-07-01
S0330,Nordis Distribution,FR,Lille,SPORT,PREMIUM,true,2024-10-15
S0331,Fjord Shop,FR,Paris,SPORT,PLUS,true,2022-02-02
S0332,Ember Market,FR,Lyon,AUTO,PLUS,true,2022-10-01
S0333,Ivory Market,BE,Liège,BEAU,PREMIUM,true,2021-08-14
S0334,Vertex Market,FR,Bordeaux,AUTO,BASIC,true,2022-12-07
S0335,Lumen Market,FR,Bordeaux,TECH,PLUS,false,2022-03-14
S0336,Orbit Group,NL,Amsterdam,HOME,BASIC,true,2024-01-24
S0337,Solstice Group,FR,Toulouse,KIDS,BASIC,true,2023-08-09
S0338,Vertex Distribution,FR,Nantes,KIDS,BASIC,true,2025-09-27
S0339,Orbit Shop,FR,Marseille,TECH,BASIC,true,2021-05-06
S0340,Ivory Group,FR,Toulouse,AUTO,PREMIUM,true,2022-02-01
S0341,Lumen Store,NL,Amsterdam,AUTO,PLUS,true,2023-09-17
S0342,Rivage Group,ES,Barcelone,FASH,BASIC,true,2021-04-24
S0343,Alvora Market,FR,Rennes,BOOK,PLUS,true,2025-08-16
S0344,Ivory Shop,DE,Hambourg,FASH,BASIC,true,2021-08-24
S0345,Pallas Distribution,FR,Toulouse,BOOK,BASIC,true,2024-10-27
S0346,Solstice Market,BE,Bruxelles,TECH,BASIC,true,2024-07-03
S0347,Terra Group,IT,Milan,FASH,BASIC,true,2021-12-15
S0348,Solstice Market,BE,Bruxelles,AUTO,BASIC,true,2024-02-12
S0349,Windrow Store,FR,Strasbourg,HOME,BASIC,true,2022-07-15
S0350,Lumen Shop,BE,Bruxelles,HOME,PLUS,true,2025-05-18
S0351,Solstice Store,ES,Valence,SPORT,BASIC,true,2021-07-14
S0352,Cirrus Group,FR,Strasbourg,BEAU,BASIC,true,2022-03-29
S0353,Bexon Group,FR,Toulouse,AUTO,BASIC,true,2022-06-28
S0354,Solstice Group,FR,Paris,FASH,BASIC,true,2021-06-17
S0355,Orbit Store,BE,Bruxelles,BEAU,PLUS,true,2021-04-08
S0356,Vertex Shop,IT,Rome,HOME,PLUS,true,2021-05-31
S0357,Delvia Group,ES,Valence,AUTO,PLUS,true,2021-08-08
S0358,Nordis Shop,FR,Marseille,BOOK,PLUS,true,2023-06-23
S0359,Nordis Distribution,ES,Barcelone,BOOK,PREMIUM,true,2023-12-05
